"uniqueid","site.name","depth","age","date.type","lat","long","dataset","ACRUBRUM","ACSACRUM","AMBROSIA","APIACEAE","ARTEMISIA","ASTERX","BETULA","CARYA","CHENOAMX","CUPRESSA","CYPERACE","FAGUS","FRAXINUX","FRAXNIGR","IVA","JUGLANSX","LAMIACEAE","LIQUIDAM","NYSSA","ONAGRACEAE","OSTRYCAR","Other","PINUSX","PLANTAGINX","PLATANUS","POACEAE","POLYGONMX","POLYPOD","QUERCUS","RUBIACEAE","RUBUS","SALIX","ULMUS","ABIES","ALNUSX","FRAXPNAM","PICEAX","BRASSICACEAE","POPULUS","TSUGAX","ASTERCICHO","ACERX","CORYLUS","RANUNCUL","ROSACEAX","THALICTRUM","TILIA","RUMEX","ALRUGOSA","POLYGONAX","JUGNIGRA","MYRICACX","URTICACX","RHAMNACEAE","FABACEAE","ERICACEX","LARIXPSEU","SARCOBATUS","EPHEDRA","CARYOPHYLL","SELAGINE","ACNEGUNA","XANTHIUM","CORNUS","LILIACEAE","ACSACNUM","EUPHORB","MALVACEAE","BORAGINACEAE","CASTANEA","ELAEAGNX","RUMEOXYR","CAPRIFOLIA","SHEPHERDIA","ERIVACCI","AQUIFOLI","ARCEUTHOBI","SCROPHUL","MAGNOLIACE","CAMPANULACEA","TAXODIUM","CACTACEAE","POLEMONI","ACPENSYL","SANGUI","PROSOPIS","PEDICULARI","pollensum","ambrosia.proportion","artemisia.proportion","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","NA_L2KEY","NA_L1KEY","Shape_Leng","Shape_Area","category","MeanT","Mean.Diurnal.RangeT","Isothermality","TSeasonality","MaxTWarm","MinTCold","TAnnRange","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnP","PrecipWetMonth","PrecipDryMonth","PrecipSeasonality","PrecipWetQ","PrecipDryQ","PrecipWarmQ","PrecipColdQ","long.1","lat.1"
13,"West Stump Lake",NA,-35,1,47.911675,-98.432175,14436,0,0,28,1,43,6,7,0,88,4,28,0,2,0,0,0,0,0,0,0,0,75,46.5,0,0,49,0,0,31,0,0,6,13,0,0,10,6,2,4,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,1,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.5,0.0591341077085533,0.0908130939809926,"9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS","9.2  TEMPERATE PRAIRIES","9  GREAT PLAINS",12510738.5159,751237921717,"BothPresent",37.3511428833008,129,26,12668.51953125,278.807586669922,-214.108749389648,492.916351318359,191.351150512695,-136.192398071289,191.351150512695,-136.192398071289,458.503204345703,84,10,62,215.648849487305,37,215.648849487305,37,-98.432175,47.911675
14,"Hayes Lake",NA,-60,1,44.36591,-101.01109,19964,0,0,24,0,13,3,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,244,10,0,0,31,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0.06,0.0325,"9.3","WEST-CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS","9.3  WEST-CENTRAL SEMIARID PRAIRIES","9  GREAT PLAINS",9619206.40931,817886943524,"BothPresent",82.8443984985352,141.360000610352,30,11023.958984375,319.844390869141,-140.548538208008,460.392944335938,194.420257568359,-43.9228134155273,222.84440612793,-62.6399993896484,434.159484863281,77.5156021118164,8,62.5155982971191,207.095336914062,31,180.031204223633,31,-101.01109,44.36591
15,"Lake Virginia",NA,-60,1,43.52982,-89.930365,19981,1,2,39,0,2,5,1,6,2,0,1,0,0,2,0,0,0,0,0,0,0,128,39,0,0,17,0,9,120,1,0,6,6,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0.0977443609022556,0.0050125313283208,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",3190053.60936,130088054380,"BothPresent",72.4614562988281,123.351272583008,28,10715.52734375,283.164001464844,-150.944396972656,434.1083984375,190.540328979492,-75.1872711181641,202.812728881836,-75.1872711181641,815.349487304688,103.1083984375,25,41.6487274169922,301.295684814453,88.2723999023438,297.187286376953,88.2723999023438,-89.930365,43.52982
16,"Caddo Lake",NA,-62,1,34.738585,-98.729205,26379,0,0,74,0,1,31,0,7,8,11,5,0,0,0,4,0,0,1,0,0,0,89,13,2,0,0,0,0,134,0,0,0,9,0,0,2,0,0,9,0,0,0,0,1,4,0,0,5,0,0,0,0,7,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,0.174117647058824,0.00235294117647059,"9.4","SOUTH CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS","9.4  SOUTH CENTRAL SEMIARID PRAIRIES","9  GREAT PLAINS",8068725.65061,989587175818,"BothPresent",154.682800292969,138.595748901367,35,8856.2724609375,348.659362792969,-46.4042472839355,395.063598632812,219.713165283203,36.716552734375,266.191497802734,36.716552734375,724.46044921875,111.760246276855,28.9395999908447,38.6192016601562,252.018890380859,97.8188018798828,199.171600341797,97.8188018798828,-98.729205,34.738585
17,"Cox Creek",0,NA,NA,42.8,-91.38,35,0,0,92,0,0,4,5,5,13,0,0,0,1,0,0,3,0,0,0,0,3,5,18,0,0,109,0,0,48,0,0,10,12,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0.274626865671642,1e-05,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",3190053.60936,130088054380,"NoArtemisia",80.3248062133789,124.166801452637,28,10800.396484375,291.558013916016,-145.542388916016,437.100402832031,211.324813842773,-68.6087951660156,211.324813842773,-68.6087951660156,842.390380859375,108.242797851562,23.9051990509033,43,318.823181152344,86.9051971435547,318.823181152344,86.9051971435547,-91.38,42.8
18,"Elk",0,NA,NA,42.55,-91.28,36,0,0,127,0,0,3,1,4,9,0,0,0,1,0,0,4,0,0,0,0,0,17,9,0,0,103,0,0,47,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0.373529411764706,1e-05,"9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS","9.2  TEMPERATE PRAIRIES","9  GREAT PLAINS",12510738.5159,751237921717,"NoArtemisia",77.0899963378906,119.297996520996,27,10846.9267578125,286.089996337891,-147.234817504883,433.324829101562,208.792007446289,-72.9368209838867,208.792007446289,-72.9368209838867,871.147155761719,112.208000183105,24.6388206481934,43.2711791992188,329.660369873047,89.5488204956055,329.660369873047,89.5488204956055,-91.28,42.55
19,"Tennyson",0,NA,NA,42.65,-90.67,52,0,0,94,0,5,3,0,10,8,7,0,0,0,0,0,7,0,0,0,0,1,17,32,10,0,69,0,0,29,0,0,0,3,0,0,0,0,0,4,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0.305194805194805,0.0162337662337662,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",3190053.60936,130088054380,"BothPresent",85.8560028076172,109.065399169922,26,10663.12109375,288.829803466797,-129.117797851562,417.947601318359,215.856002807617,-60.1439933776855,215.856002807617,-60.1439933776855,850.663757324219,106.117797851562,26,41,311.261779785156,91.6485977172852,311.261779785156,91.6485977172852,-90.67,42.65
20,"Vermnt29",0,NA,NA,43.03,-89.8,61,0,0,92,0,0,0,0,1,19,1,0,0,0,0,0,4,0,0,0,0,1,29,5,12,0,89,0,0,43,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0.298701298701299,1e-05,"8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS",3190053.60936,130088054380,"NoArtemisia",72.7123947143555,115.09880065918,27,10631.1591796875,278.71240234375,-143.170394897461,421.882781982422,202.955001831055,-72.458610534668,202.955001831055,-72.458610534668,844.94921875,104.386405944824,27.9011993408203,39,307.601806640625,98.9728012084961,307.601806640625,98.9728012084961,-89.8,43.03
21,"Site 30 (Swain unpublished)",0,NA,NA,46.35,-91.35,100,0,0,22,0,3,4,79,0,4,4,4,0,0,0,0,1,0,0,0,0,0,1,104,0,0,3,0,0,39,0,0,1,3,4,17,0,3,0,4,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0.0723684210526316,0.00986842105263158,"5.2","MIXED WOOD SHIELD","5","NORTHERN FORESTS","5.2  MIXED WOOD SHIELD","5  NORTHERN FORESTS",5338397.84349,248955251711,"BothPresent",38.8372001647949,126.837196350098,27,11161.509765625,262.973999023438,-197.250823974609,460.224822998047,164.837203979492,-115,174.837203979492,-115,783.560302734375,104.749176025391,20.1140251159668,45.2508239746094,305.035949707031,80.8631973266602,303.335540771484,80.8631973266602,-91.35,46.35
22,"Lake Pomme de Terre",0,NA,NA,37.88,-93.33,952,0,0,89,0,1,8,0,4,17,1,2,1,7,0,0,5,0,1,0,0,4,2,1,1,3,19,0,0,177,0,0,2,9,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0.242506811989101,0.00272479564032698,"8.4","OZARK/OUACHITA-APPALACHIAN FORESTS","8","EASTERN TEMPERATE FORESTS","8.4  OZARK/OUACHITA-APPALACHIAN FORESTS","8  EASTERN TEMPERATE FORESTS",2650044.10889,175845331063,"BothPresent",129.662796020508,128.662796020508,32,9315.125,323.662811279297,-75.0003967285156,398.663208007812,181.000259399414,2.66240000724792,245.000259399414,2.66240000724792,1043.01159667969,125.000137329102,39,30,339.674530029297,146,296.337738037109,146,-93.33,37.88
23,"JHMN13 (McAndrews and Wright 1969)",0,NA,NA,48.733333,-112.183333,1296,0,0,0,0,8,2,0,0,2,2,38,0,0,0,0,0,0,0,0,0,0,3,220,0,0,29,0,1,0,0,0,0,0,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,1e-05,0.0249221183800623,"9.3","WEST-CENTRAL SEMIARID PRAIRIES","9","GREAT PLAINS","9.3  WEST-CENTRAL SEMIARID PRAIRIES","9  GREAT PLAINS",9619206.40931,817886943524,"NoAmbrosia",53.1327705383301,137.393997192383,33.2384300231934,9060.296875,264.288330078125,-141.052825927734,405.341156005859,144.98713684082,-63.0528297424316,169.98713684082,-63.0528297424316,312.180603027344,66.8143997192383,7.1456298828125,72.8150787353516,157.284027099609,24.4996604919434,142.075622558594,24.4996604919434,-112.183333,48.733333
24,"Blackhawk Lake",0,NA,NA,42.298455,-95.026045,1525,1,0,138,0,7,9,1,1,54,5,3,0,1,0,1,6,0,0,0,0,0,24,16,1,0,40,0,0,29,0,0,3,7,0,1,1,1,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0.378082191780822,0.0191780821917808,"9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS","9.2  TEMPERATE PRAIRIES","9  GREAT PLAINS",12510738.5159,751237921717,"BothPresent",81.9684753417969,124,28,11086.68359375,296.576324462891,-142.455200195312,439.031524658203,196.968475341797,-69.4552001953125,217.914794921875,-69.4552001953125,799.360656738281,118,17.9148006439209,51.4236755371094,322,64.9148025512695,316.423675537109,64.9148025512695,-95.026045,42.298455
25,"Mertock Lake",0,NA,NA,53.490278,-105.766667,2078,0,0,1,0,19,4,24,0,14,0,80,0,0,0,0,0,0,0,0,0,0,43,89,0,0,5,0,10,0,0,0,6,0,0,19,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0.0029673590504451,0.056379821958457,"5.4","BOREAL PLAIN","5","NORTHERN FORESTS","5.4  BOREAL PLAIN","5  NORTHERN FORESTS",7681115.445,688274409977,"BothPresent",2.82755017280579,125.82755279541,25,12958.224609375,239.952346801758,-257.021240234375,496.973602294922,157.65510559082,-150.723999023438,157.65510559082,-172.723999023438,433.007049560547,72.702751159668,15,53.297248840332,198.705093383789,55.2995986938477,198.705093383789,56.2995986938477,-105.766667,53.490278
26,"Mile 60 Lac la Ronge Highway",0,NA,NA,54.575,-105.533333,2091,0,0,1,0,14,0,39,0,11,0,2,0,0,0,0,0,0,0,0,0,0,3,91,0,0,8,0,1,0,0,0,6,0,0,25,0,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0.00431034482758621,0.0603448275862069,"5.4","BOREAL PLAIN","5","NORTHERN FORESTS","5.4  BOREAL PLAIN","5  NORTHERN FORESTS",7681115.445,688274409977,"BothPresent",-7.32040023803711,119,23,13187.396484375,227.816864013672,-270,497.816864013672,151,-162.611541748047,151,-186.611541748047,491.320404052734,81.3203964233398,17,51.6795997619629,220.320404052734,63,220.320404052734,65,-105.533333,54.575
27,"Mile 74 Lac la Ronge Highway",0,NA,NA,54.733333,-105.433333,2092,0,0,5,0,4,0,44,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,2,0,0,16,0,65,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0.0171232876712329,0.0136986301369863,"5.4","BOREAL PLAIN","5","NORTHERN FORESTS","5.4  BOREAL PLAIN","5  NORTHERN FORESTS",7681115.445,688274409977,"BothPresent",-8,118,23,13268.8134765625,228.430801391602,-272,500.430786132812,151.430801391602,-163,151.430801391602,-188.430801391602,497,82,17,51,222,62.676399230957,222,66,-105.433333,54.733333
28,"K19 (Kapp 1965]",0,NA,NA,40.12,-94.07,2282,0,0,349,0,0,12,1,2,101,0,1,0,3,0,0,6,0,0,0,0,0,3,6,1,0,59,0,0,33,0,0,2,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0.570261437908497,1e-05,"9.2","TEMPERATE PRAIRIES","9","GREAT PLAINS","9.2  TEMPERATE PRAIRIES","9  GREAT PLAINS",12510738.5159,751237921717,"NoArtemisia",106.984954833984,126.364303588867,29,10277.640625,313,-111,424,221.379348754883,-35.0150489807129,233,-35.0150489807129,903.7763671875,116,23,44,327.663452148438,85.9571990966797,315.635711669922,85.9571990966797,-94.07,40.12
