"id","pub.type","year","citation","ContactID","Order","ContactName","contact.id","order","contact.name"
7707,"Journal Article",2009,"Teed, R.E., C.E. Umbanhowar, and P. Camill. 2009. Multiproxy lake sediment records at the northern and southern boundaries of the Aspen Parkland region of Manitoba, Canada. The Holocene 19(6):937-948. [DOI: 10.1177/0959683609336569]",NA,NA,NA,NA,NA,NA
7223,"Doctoral Dissertation",1978,"Patterson, W.A., III. 1978. The effects of past and current land disturbances on Squaw Lake, Minnesota and its watershed. Doctoral dissertation. University of Minnesota, St. Paul, Minnesota, USA.",NA,NA,NA,NA,NA,NA
7766,"Doctoral Dissertation",1995,"Locke, S.M. 1995. A paleohydrologic model applied to the Holocene sediment stratigraphy of two lakes in north-central Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
7774,"Master's Thesis",1979,"Young, M.A. 1979. A high resolution paleomagnetic study of recent sediments from Long Lake, Hennepin County, Minnesota. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
7776,"Doctoral Dissertation",2006,"Spigel, K.M. 2006. Erosion and sedimentation history of Emrick Lake, south-central Wisconsin, in response to Holocene environmental change. Doctoral dissertation. University of Wisconsin, Madison, Wisconsin, USA.",NA,NA,NA,NA,NA,NA
173,"Doctoral Dissertation",1981,"Grimm, E.C. 1981. An ecological and paleoecological study of the vegetation in the Big Woods region of Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
7835,"Journal Article",1999,"Hu, F.S., D. Slawinski, H.E. Wright, Jr., E. Ito, R.G. Johnson, K.R. Kelts, R.F. McEwan, and A. Boedigheimer. 1999. Abrupt changes in North American climate during early Holocene times. Nature 400:437-440. [DOI: 10.1038/2272]",NA,NA,NA,NA,NA,NA
460,"Authored Report",1979,"Lowdon, J.A., and W. Blake, Jr. 1979. Geological Survey of Canada radiocarbon dates XIX. Paper 79-7, Geological Survey of Canada.",NA,NA,NA,NA,NA,NA
7674,"Journal Article",2000,"Davis, M., C. Douglas, R. Calcote, K.L. Cole, M.G. Winkler, and R. Flakne. 2000. Holocene climate in the western Great Lakes national parks and lakeshores: implications for future climate change. Conservation Biology 14(4):968-983. [DOI: 10.1046/j.1523-1739.2000.99219.x]",NA,NA,NA,NA,NA,NA
7907,"Journal Article",1969,"Nichols, H. 1969. The late Quaternary history of vegetation and climate at Porcupine Mountain and Clearwater Bog, Manitoba. Arctic and Alpine Research 1(3):155-167.",NA,NA,NA,NA,NA,NA
7282,"Journal Article",2009,"Tweiten, M.A., S.C. Hotchkiss, R.K. Booth, R. Calcote, and E.A. Lynch. 2009. The response of a jack pine forest to late-Holocene climate variability in northwestern Wisconsin. The Holocene 19(7):1049-1061.",NA,NA,NA,NA,NA,NA
202,"Journal Article",1992,"Baker, R.G., L.J. Maher, Jr., C.A. Chumbley, and K.L. Van Zant. 1992. Patterns of Holocene environmental change in the midwestern United States. Quaternary Research 37(3):379-389. [DOI: 10.1016/0033-5894(92)90074-S]",NA,NA,NA,NA,NA,NA
7374,"Doctoral Dissertation",1993,"Ollendorf, A.L. 1993. Changing landscapes in the American Bottom (USA): An interdisciplinary investigation with an emphasis on the late-prehistoric and early-historic periods. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
7294,"Journal Article",2003,"Geiss, C.E., C.E. Umbanhowar, P. Camill, and S.K. Banerjee. 2003. Sediment magnetic properties reveal Holocene climate change along the Minnesota prairie-forest ecotome. Journal of Paleolimnology 30(2):151-166. [DOI: 10.1023/A:1025574100319]",NA,NA,NA,NA,NA,NA
9415,"Journal Article",2016,"Commerford, J.L., B. Leys, J.R. Mueller, and K.K. McLauchlan. 2016. Great Plains vegetation dynamics in response to fire and climatic fluctuations during the Holocene at Fox Lake, Minnesota (USA). The Holocene 26(2):302-313.",NA,NA,NA,NA,NA,NA
9523,"Journal Article",2005,"Brown, K.J., J.S. Clark, E.C. Grimm, J.J. Donovan, P.G. Mueller, B.C.S. Hansen, and I. Stefanova. 2005. Fire cycles in North American interior grasslands and their relation to prairie drought. Proceedings of the National Academy of Sciences of the United States of America 102(25):8865-8870. [DOI: 10.1073/pnas.0503621102]",NA,NA,NA,NA,NA,NA
7319,"Doctoral Dissertation",1995,"Jaumann, P.J. 1995. Century to millennium-scale late Quaternary natural climate variability in the Midwestern United States. Doctoral dissertation. University of Iowa, Iowa City, Iowa, USA. Notes: Thesis supervisor: Richard G. Baker",NA,NA,NA,NA,NA,NA
9587,"Journal Article",1994,"Campbell, C., I.D. Campbell, C.B. Blyth, and J.H. McAndrews. 1994. Bison extirpation may have caused aspen expansion in western Canada. Ecography 17(4):360-362.",NA,NA,NA,NA,NA,NA
7413,"Journal Article",2014,"Munoz, S.E., S. Schroeder, D.A. Fike, and J.W. Williams. 2014. A record of sustained prehistoric and historic land use from the Cahokia region, Illinois, USA. Geology 42(6):499-502. http://geology.gsapubs.org/content/42/6/499.short. [DOI: 10.1130/G35541.1]",NA,NA,NA,NA,NA,NA
9856,"Journal Article",2015,"Munoz, S.E., K.E. Gruley, A. Massie, D.A. Fike, S. Schroeder, and J.W. Williams. 2015. Cahokia's emergence and decline coincided with shifts of flood frequency on the Mississippi River. Proceedings of the National Academy of Sciences 112(20):6319-6324.",NA,NA,NA,NA,NA,NA
10603,"Master's Thesis",2009,"Hart, C.L. 2009. High-resolution pollen analysis of two lakes at the boreal forest-aspen parkland ecotone in central Saskatchewan, Canada. Master's thesis. University of Regina, Regina, Saskatchewan, Canada.",NA,NA,NA,NA,NA,NA
265,"Journal Article",1966,"McAndrews, J.H. 1966. Postglacial history of prairie, savanna, and forest in northwestern Minnesota. Torrey Botanical Club Memoir 22(2):1-72.",NA,NA,NA,NA,NA,NA
402,"Doctoral Dissertation",1979,"Swain, P.C. 1979. The development of some bogs in eastern Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
473,"Doctoral Dissertation",1975,"Jacobson, G.L., Jr. 1975. A palynological study of the history and ecology of white pine in Minnesota. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
475,"Master's Thesis",1982,"Alwin, B.C. 1982. Vegetation history of the Sugar Hills area, Itasca Co., Minnesota. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
74,"Authored Book",1973,"Mott, R.J. 1973. Palynological studies in central Saskatchewan: pollen stratigraphy from lake sediment sequences. Paper 72-49. Geological Survey of Canada, Ottawa, Ontario, Canada.",NA,NA,NA,NA,NA,NA
199,"Legacy",1990,"Baker, R.G., C.A. Chumbley, P.M. Witinok, and H.K. Kim. 1990. Holocene vegetational changes in eastern Iowa. Journal of the Iowa Academy of Science 97:167-177.",NA,NA,NA,NA,NA,NA
224,"Journal Article",1987,"Barnosky, C.W., E.C. Grimm, and H.E. Wright, Jr. 1987. Towards a postglacial history of the northern Great Plains: a review of the paleoecologic problems. Annals of the Carnegie Museum 56:259-273.",NA,NA,NA,NA,NA,NA
394,"Edited Report",1985,"Gajewski, K., editor. 1985. Late-Holocene pollen data from lakes with varved sediments in northeastern and northcentral United States. IES Report 124, Center for Climatic Research, University of Wisconsin, Madison, Wisconsin, USA.",NA,NA,NA,NA,NA,NA
7,"Book Chapter",1982,"Maher, L.J., Jr. 1982. The palynology of Devils Lake, Sauk County, Wisconsin. Pages 119-135 in J.C. Knox, L. Clayton, and D.M. Mickelson, editors. Quaternary History of the Driftless Area. Field Trip Guide Book 5. University of Wisconsin-Extension, Geological and Natural History Survey, Madison, Wisconsin, USA. Notes: Prepared for 29th Annual Meeting Midwest Friends of the Pleistocene, Prairie du Chien, Wisconsin, May 22 and 23, 1982.",NA,NA,NA,NA,NA,NA
270,"Legacy",1969,"McAndrews, J.H. 1969. Paleobotany of a wild rice lake in Minnesota. Canadian Journal of Botany 47:1671-1679.",NA,NA,NA,NA,NA,NA
140,"Legacy",1982,"McAndrews, J.H. 1982. Holocene environment of a fossil bison from Kenora, Ontario. Ontario Archaeology 37:41-51..",NA,NA,NA,NA,NA,NA
54,"Journal Article",1983,"Grimm, E.C. 1983. Chronology and dynamics of vegetation change in the prairie-woodland region of southern Minnesota, U.S.A. New Phytologist 93(2):311-350. [DOI: 10.1111/j.1469-8137.1983.tb03434.x]",NA,NA,NA,NA,NA,NA
129,"Legacy",1968,"Ritchie, J.C., and S. Lichti-Federovich. 1968. Holocene pollen assemblages from the Tiger Hills, Manitoba. Canadian Journal of Earth Sciences 5:873-880.",NA,NA,NA,NA,NA,NA
77,"Journal Article",1975,"Ritchie, J.C., and K. Hadden. 1975. Pollen stratigraphy of the Holocene sediments from the Grand Rapids area, Manitoba, Canada. Review of Palaeobotany and Palynology 19(3):193-202. [DOI: 10.1016/0034-6667(75)90040-8]",NA,NA,NA,NA,NA,NA
688,"Journal Article",1997,"Vance, R.E., W.M. Last, and A.J. Smith. 1997. Hydrologic and climatic implications of a multidisciplinary study of late Holocene sediment from Kenosee Lake, southeastern Saskatchewan, Canada. Journal of Paleolimnology 18(4):365-393. [DOI: 10.1023/A:1007948909342]",NA,NA,NA,NA,NA,NA
93,"Journal Article",1963,"Wright, H.E., Jr., T.C. Winter, and H.L. Patten. 1963. Two pollen diagrams from southeastern Minnesota: problems in the regional late-glacial and postglacial vegetational history. Geological Society of America Bulletin 74(11):1371-1396. [DOI: 10.1130/0016-7606(1963)74[1371:TPDFSM]2.0.CO;2]",NA,NA,NA,NA,NA,NA
158,"Journal Article",1988,"Brugam, R.B., E.C. Grimm, and N.M. Eyster-Smith. 1988. Holocene environmental changes in Lily Lake, Minnesota inferred from fossil diatom and pollen assemblages. Quaternary Research 30(1):53-66. [DOI: 10.1016/0033-5894(88)90087-7]",NA,NA,NA,NA,NA,NA
970,"Legacy",1970,"Lichti-Federovich, S. 1970. The pollen stratigraphy of a dated section of late Pleistocene lake sediment from central Alberta. Canadian Journal of Earth Sciences 7:938-945.",NA,NA,NA,NA,NA,NA
505,"Book Chapter",1967,"McAndrews, J.H. 1967. Pollen analysis and vegetational history of the Itasca region, Minnesota. Pages 219-236 in E.J. Cushing and H.E. Wright, Jr., editors. Quaternary Paleoecology. Yale University Press, New Haven, Connecticut, USA.",NA,NA,NA,NA,NA,NA
269,"Journal Article",1992,"Almendinger, J.C. 1992. The late Holocene history of prairie, brush-prairie, and jack pine (Pinus banksiana) forest on outwash plains, north-central Minnesota, USA. The Holocene 2(1):37-50. [DOI: 10.1177/095968369200200105]",NA,NA,NA,NA,NA,NA
597,"Doctoral Dissertation",1996,"Laird, K.R. 1996. A high-resolution paleoclimatic record of a closed-basin lake in the northern Great Plains. Doctoral dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
85,"Journal Article",1979,"Van Zant, K.L. 1979. Late glacial and postglacial pollen and plant macrofossils from Lake West Okoboji, northwestern Iowa. Quaternary Research 12(3):358-380. [DOI: 10.1016/0033-5894(79)90034-6]",NA,NA,NA,NA,NA,NA
271,"Legacy",1988,"McAndrews, J.H. 1988. Human disturbance of North American forests and grasslands: the fossil pollen record. Pages 673-697 in B. Huntley and T. Webb III, editors. Vegetation History. Kluwer Academic Publishers, Dordrecht, Netherlands.",NA,NA,NA,NA,NA,NA
160,"Legacy",1986,"Kim, H. K. 1986. Late-glacial and Holocene environment in central Iowa: a comparative study of pollen data from four sites. Dissertation. University of Iowa, Iowa City, Iowa, USA.",NA,NA,NA,NA,NA,NA
176,"Journal Article",1992,"Almquist-Jacobson, H., J.E. Almendinger, and S.E. Hobbie. 1992. Influence of terrestrial vegetation on sediment-forming processes in kettle lakes of west-central Minnesota. Quaternary Research 38(1):103-116.",NA,NA,NA,NA,NA,NA
332,"Journal Article",1975,"Stuiver, M. 1975. Climate versus changes in 13C content of the organic component of lake sediments during the late Quaternary. Quaternary Research 5(2):251-262. [DOI: 10.1016/0033-5894(75)90027-7]",NA,NA,NA,NA,NA,NA
630,"Journal Article",1976,"Ritchie, J.C. 1976. The late-Quaternary vegetational history of the western interior of Canada. Canadian Journal of Botany 54(15):1793-1818. [DOI: 10.1139/b76-194]",NA,NA,NA,NA,NA,NA
168,"Journal Article",1969,"Stuiver, M. 1969. Yale Natural Radiocarbon Measurments IX. Radiocarbon 11(2):545-658. [DOI: 10.1017/S0033822200011413]",NA,NA,NA,NA,NA,NA
38,"Journal Article",1977,"Davis, A.M. 1977. The prairie-deciduous forest ecotone in the upper Middle West. Annals of the Association of American Geographers 67(2):204-213.",NA,NA,NA,NA,NA,NA
196,"Journal Article",1989,"MacDonald, G.M. 1989. Postglacial palaeoecology of the subalpine forest–grassland ecotone of southwestern Alberta: new insights on vegetation and climate change in the Canadian Rocky Mountains and adjacent foothills. Palaeogeography, Palaeoclimatology, Palaeoecology 73(3-4):155-173. [DOI: 10.1016/0031-0182(89)90001-1]",NA,NA,NA,NA,NA,NA
78,"Journal Article",1964,"Ritchie, J.C. 1964. Contributions to the Holocene paleoecology of west central Canada. 1. The Riding Mountain area. Canadian Journal of Botany 42(2):181-196.",NA,NA,NA,NA,NA,NA
67,"Edited Book",1981,"Albert, L.E., and D.G. Wyckoff, editors. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Studies in Oklahoma's Past 7. Oklahoma Archaeological Survey, Norman, Oklahoma, USA.",NA,NA,NA,NA,NA,NA
94,"Authored Book",1969,"Wright, H.E., Jr., and W.A. Watts. 1969. Glacial and vegetational history of northeastern Minnesota. Special Publications Series 11. Minnesota Geological Survey, University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
514,"Legacy",1992,"Allen, K.E. 1992. Geochemical stratigraphy of Medicine Lake, South Dakota: Paleoclimatic implications of the freshwater/ saline transition. Thesis. University of Minnesota, Minneapolis, Minnesota, USA.",NA,NA,NA,NA,NA,NA
468,"Journal Article",1972,"Haworth, E.Y. 1972. Diatom succession in a core from Pickerel Lake, northeastern South Dakota. Geological Society of America Bulletin 83(1):157-172. [DOI: 10.1130/0016-7606(1972)83[157:DSIACF]2.0.CO;2]",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,469,1,"Murchie, S. L.",NA,NA,NA
NA,NA,NA,NA,69,1,"McAndrews, John H.",NA,NA,NA
NA,NA,NA,NA,6404,1,"Camill, Philip",NA,NA,NA
NA,NA,NA,NA,6403,2,"Umbanhowar, Charles E., Jr.",NA,NA,NA
NA,NA,NA,NA,6405,3,"Teed, Rebecca E.",NA,NA,NA
NA,NA,NA,NA,6406,4,"Geiss, Christoph E.",NA,NA,NA
NA,NA,NA,NA,6408,5,"Aldinger, Jessica",NA,NA,NA
NA,NA,NA,NA,6409,6,"Dvorak, Leah",NA,NA,NA
NA,NA,NA,NA,6410,7,"Kenning, Jon",NA,NA,NA
NA,NA,NA,NA,6411,8,"Limmer, Jacob",NA,NA,NA
NA,NA,NA,NA,6412,9,"Walkup, Kristina",NA,NA,NA
NA,NA,NA,NA,746,1,"Lynch, Elizabeth A.",NA,NA,NA
NA,NA,NA,NA,6381,2,"Hotchkiss, Sara C.",NA,NA,NA
NA,NA,NA,NA,6380,3,"Calcote, Randy",NA,NA,NA
NA,NA,NA,NA,6403,1,"Umbanhowar, Charles E., Jr.",NA,NA,NA
NA,NA,NA,NA,6381,1,"Hotchkiss, Sara C.",NA,NA,NA
NA,NA,NA,NA,6380,2,"Calcote, Randy",NA,NA,NA
NA,NA,NA,NA,746,3,"Lynch, Elizabeth A.",NA,NA,NA
NA,NA,NA,NA,6782,1,"St. Jacques, Jeannine-Marie",NA,NA,NA
NA,NA,NA,NA,608,2,"Cumming, Brian F.",NA,NA,NA
NA,NA,NA,NA,314,3,"Smol, John P.",NA,NA,NA
NA,NA,NA,NA,6868,1,"Brooks, Greg R.",NA,NA,NA
NA,NA,NA,NA,6869,2,"Grenier, A.",NA,NA,NA
NA,NA,NA,NA,12553,1,"Jacobson, Heather",NA,NA,NA
NA,NA,NA,NA,34,2,"Engstrom, Daniel R.",NA,NA,NA
NA,NA,NA,NA,6405,1,"Teed, Rebecca E.",NA,NA,NA
NA,NA,NA,NA,6404,3,"Camill, Philip",NA,NA,NA
NA,NA,NA,NA,81,1,"Patterson, William Albert, III",NA,NA,NA
NA,NA,NA,NA,6973,1,"Locke, Sharon M.",NA,NA,NA
NA,NA,NA,NA,6983,1,"Young, Michael Allen",NA,NA,NA
NA,NA,NA,NA,6984,1,"Spigel, Kevin M.",NA,NA,NA
NA,NA,NA,NA,44,1,"Grimm, Eric Christopher",NA,NA,NA
NA,NA,NA,NA,305,1,"Hu, Feng Sheng",NA,NA,NA
NA,NA,NA,NA,7107,2,"Slawinski, D.",NA,NA,NA
NA,NA,NA,NA,114,3,"Wright, Herbert E., Jr.",NA,NA,NA
NA,NA,NA,NA,1484,4,"Ito, Emi",NA,NA,NA
NA,NA,NA,NA,7106,5,"Johnson, R.G.",NA,NA,NA
NA,NA,NA,NA,1495,6,"Kelts, Kerry R.",NA,NA,NA
NA,NA,NA,NA,7108,7,"McEwan, R.F.",NA,NA,NA
NA,NA,NA,NA,7105,8,"Boedigheimer, A.",NA,NA,NA
NA,NA,NA,NA,382,1,"Lowdon, J. A.",NA,NA,NA
NA,NA,NA,NA,378,2,"Blake, Weston J., Jr.",NA,NA,NA
NA,NA,NA,NA,29,1,"Davis, Margaret B.",NA,NA,NA
NA,NA,NA,NA,6882,2,"Douglas, Christine",NA,NA,NA
NA,NA,NA,NA,127,4,"Cole, Kenneth L.",NA,NA,NA
NA,NA,NA,NA,112,5,"Winkler, Marjorie Green",NA,NA,NA
NA,NA,NA,NA,6883,6,"Flakne, Robyn A.",NA,NA,NA
NA,NA,NA,NA,76,1,"Nichols, Harvey",NA,NA,NA
NA,NA,NA,NA,6389,1,"Tweiten, Michael A.",NA,NA,NA
NA,NA,NA,NA,6390,3,"Booth, Robert K.",NA,NA,NA
NA,NA,NA,NA,6380,4,"Calcote, Randy",NA,NA,NA
NA,NA,NA,NA,746,5,"Lynch, Elizabeth A.",NA,NA,NA
NA,NA,NA,NA,11,1,"Baker, Richard G.",NA,NA,NA
NA,NA,NA,NA,67,2,"Maher, Louis J., Jr.",NA,NA,NA
NA,NA,NA,NA,125,3,"Chumbley, Craig A.",NA,NA,NA
NA,NA,NA,NA,101,4,"Van Zant, Kent L.",NA,NA,NA
NA,NA,NA,NA,6530,1,"Ollendorf, Amy L.",NA,NA,NA
NA,NA,NA,NA,6406,1,"Geiss, Christoph E.",NA,NA,NA
NA,NA,NA,NA,6407,4,"Banerjee, Subir K.",NA,NA,NA
NA,NA,NA,NA,6650,1,"Commerford, Julie L.",NA,NA,NA
NA,NA,NA,NA,8681,2,"Leys, Berangere",NA,NA,NA
NA,NA,NA,NA,8683,3,"Mueller, Joshua Robert",NA,NA,NA
NA,NA,NA,NA,6649,4,"McLauchlan, Kendra K.",NA,NA,NA
NA,NA,NA,NA,941,1,"Brown, Kendrick J.",NA,NA,NA
NA,NA,NA,NA,126,2,"Clark, James S.",NA,NA,NA
NA,NA,NA,NA,44,3,"Grimm, Eric Christopher",NA,NA,NA
NA,NA,NA,NA,6438,4,"Donovan, Joseph",NA,NA,NA
NA,NA,NA,NA,605,5,"Mueller, Pietra G.",NA,NA,NA
NA,NA,NA,NA,46,6,"Hansen, Barbara C. S.",NA,NA,NA
NA,NA,NA,NA,1254,7,"Stefanova, Ivanka",NA,NA,NA
NA,NA,NA,NA,142,1,"Jaumann, Peter Joseph",NA,NA,NA
NA,NA,NA,NA,4807,1,"Campbell, Celina",NA,NA,NA
NA,NA,NA,NA,273,2,"Campbell, Ian D.",NA,NA,NA
NA,NA,NA,NA,8931,3,"Blyth, C. B.",NA,NA,NA
NA,NA,NA,NA,69,4,"McAndrews, John H.",NA,NA,NA
NA,NA,NA,NA,6583,1,"Munoz, Sam",NA,NA,NA
NA,NA,NA,NA,6584,2,"Schroeder, Sissel",NA,NA,NA
NA,NA,NA,NA,6585,3,"Fike, David",NA,NA,NA
NA,NA,NA,NA,5125,4,"Williams, John W.",NA,NA,NA
NA,NA,NA,NA,9223,2,"Gruley, Kristine E.",NA,NA,NA
NA,NA,NA,NA,9222,3,"Massie, Ashtin",NA,NA,NA
NA,NA,NA,NA,6585,4,"Fike, David",NA,NA,NA
NA,NA,NA,NA,6584,5,"Schroeder, Sissel",NA,NA,NA
NA,NA,NA,NA,5125,6,"Williams, John W.",NA,NA,NA
NA,NA,NA,NA,9888,1,"Hart, Catherine Leigh",NA,NA,NA
NA,NA,NA,NA,99,1,"Swain, Patricia C.",NA,NA,NA
NA,NA,NA,NA,50,1,"Jacobson, George L., Jr.",NA,NA,NA
NA,NA,NA,NA,493,1,"Alwin, Baird Christopher",NA,NA,NA
NA,NA,NA,NA,6934,1,"Mott, Robert J.",NA,NA,NA
NA,NA,NA,NA,57,4,"Kim, H. K.",NA,NA,NA
NA,NA,NA,NA,125,2,"Chumbley, Craig A.",NA,NA,NA
NA,NA,NA,NA,271,3,"Witinok, P. M.",NA,NA,NA
NA,NA,NA,NA,44,2,"Grimm, Eric Christopher",NA,NA,NA
NA,NA,NA,NA,161,1,"Whitlock, Cathy",NA,NA,NA
NA,NA,NA,NA,40,1,"Gajewski, Konrad J.",NA,NA,NA
NA,NA,NA,NA,67,1,"Maher, Louis J., Jr.",NA,NA,NA
NA,NA,NA,NA,63,2,"Lichti-Federovich, Sigrid",NA,NA,NA
NA,NA,NA,NA,86,1,"Ritchie, James C.",NA,NA,NA
NA,NA,NA,NA,45,2,"Hadden, Kathleen A.",NA,NA,NA
NA,NA,NA,NA,264,1,"Vance, Robert E.",NA,NA,NA
NA,NA,NA,NA,683,2,"Last, William M.",NA,NA,NA
NA,NA,NA,NA,684,3,"Smith, Alison Jean",NA,NA,NA
NA,NA,NA,NA,114,1,"Wright, Herbert E., Jr.",NA,NA,NA
NA,NA,NA,NA,113,2,"Winter, Thomas C.",NA,NA,NA
NA,NA,NA,NA,201,3,"Patten, Harvey L.",NA,NA,NA
NA,NA,NA,NA,123,1,"Brugam, Richard Blair",NA,NA,NA
NA,NA,NA,NA,35,3,"Eyster-Smith, Nancy M.",NA,NA,NA
NA,NA,NA,NA,63,1,"Lichti-Federovich, Sigrid",NA,NA,NA
NA,NA,NA,NA,6,1,"Almendinger, John C.",NA,NA,NA
NA,NA,NA,NA,606,1,"Laird, Kathleen R.",NA,NA,NA
NA,NA,NA,NA,101,1,"Van Zant, Kent L.",NA,NA,NA
NA,NA,NA,NA,57,1,"Kim, H. K.",NA,NA,NA
NA,NA,NA,NA,230,1,"Almquist, Heather R.",NA,NA,NA
NA,NA,NA,NA,229,2,"Almendinger, James E.",NA,NA,NA
NA,NA,NA,NA,138,3,"Hobbie, Sarah E.",NA,NA,NA
NA,NA,NA,NA,206,1,"Stuiver, Minze",NA,NA,NA
NA,NA,NA,NA,28,1,"Davis, Anthony M.",NA,NA,NA
NA,NA,NA,NA,146,1,"MacDonald, Glen",NA,NA,NA
NA,NA,NA,NA,4,1,"Albert, Lois E.",NA,NA,NA
NA,NA,NA,NA,115,2,"Wyckoff, Don G.",NA,NA,NA
NA,NA,NA,NA,106,2,"Watts, William A.",NA,NA,NA
NA,NA,NA,NA,532,1,"Allen, K. E.",NA,NA,NA
NA,NA,NA,NA,490,1,"Haworth, Elizabeth Y.",NA,NA,NA
